D:\python\Python39\python3.exe C:\Users\86136\Desktop\article\transformer-python\classification\CNN_TRANSFORMER.py 
Epoch 1 / 100, Testing: Sensitivity: 0.3999125236915002, Specificity: 0.9744128752376616,Train Acc: 0.8847, Test Acc: 0.8853
Epoch 2 / 100, Testing: Sensitivity: 0.48330660446129176, Specificity: 0.9728195377982487,Train Acc: 0.8966, Test Acc: 0.8969
Epoch 3 / 100, Testing: Sensitivity: 0.6214462749671964, Specificity: 0.9593632005998447,Train Acc: 0.9077, Test Acc: 0.9069
Epoch 4 / 100, Testing: Sensitivity: 0.6486368275258784, Specificity: 0.9558284015745923,Train Acc: 0.9083, Test Acc: 0.9082
Epoch 5 / 100, Testing: Sensitivity: 0.6663507799970841, Specificity: 0.9694454114559623,Train Acc: 0.9238, Test Acc: 0.9224
Epoch 6 / 100, Testing: Sensitivity: 0.6976964572095058, Specificity: 0.9680930830409983,Train Acc: 0.9263, Test Acc: 0.9261
Epoch 7 / 100, Testing: Sensitivity: 0.6648928415220877, Specificity: 0.9842540770693302,Train Acc: 0.9345, Test Acc: 0.9347
Epoch 8 / 100, Testing: Sensitivity: 0.7488700976818778, Specificity: 0.974037972310741,Train Acc: 0.9404, Test Acc: 0.9391
Epoch 9 / 100, Testing: Sensitivity: 0.7178889050882052, Specificity: 0.9842005195083416,Train Acc: 0.9441, Test Acc: 0.9429
Epoch 10 / 100, Testing: Sensitivity: 0.7722700102055693, Specificity: 0.9777602227994537,Train Acc: 0.9468, Test Acc: 0.9459
Epoch 11 / 100, Testing: Sensitivity: 0.8133838752004665, Specificity: 0.9757652036526256,Train Acc: 0.9507, Test Acc: 0.9506
Epoch 12 / 100, Testing: Sensitivity: 0.8232978568304418, Specificity: 0.9805318265806175,Train Acc: 0.9567, Test Acc: 0.9561
Epoch 13 / 100, Testing: Sensitivity: 0.8076979151479807, Specificity: 0.9836515545082077,Train Acc: 0.9567, Test Acc: 0.9563
Epoch 14 / 100, Testing: Sensitivity: 0.8129464936579677, Specificity: 0.9868783975577752,Train Acc: 0.9610, Test Acc: 0.9599
Epoch 15 / 100, Testing: Sensitivity: 0.8528940078728677, Specificity: 0.9851377768256434,Train Acc: 0.9656, Test Acc: 0.9646
Epoch 16 / 100, Testing: Sensitivity: 0.8572678232978568, Specificity: 0.9849369359719359,Train Acc: 0.9666, Test Acc: 0.9651
Epoch 17 / 100, Testing: Sensitivity: 0.8650677941390873, Specificity: 0.9845620330450151,Train Acc: 0.9670, Test Acc: 0.9660
Epoch 18 / 100, Testing: Sensitivity: 0.8654322787578365, Specificity: 0.9849904935329246,Train Acc: 0.9674, Test Acc: 0.9664
Epoch 19 / 100, Testing: Sensitivity: 0.8688584341740778, Specificity: 0.9849904935329246,Train Acc: 0.9679, Test Acc: 0.9670
Epoch 20 / 100, Testing: Sensitivity: 0.867619186470331, Specificity: 0.9852047237768792,Train Acc: 0.9679, Test Acc: 0.9670
Epoch 21 / 100, Testing: Sensitivity: 0.8585070710016037, Specificity: 0.9862357068259111,Train Acc: 0.9676, Test Acc: 0.9664
Epoch 22 / 100, Testing: Sensitivity: 0.8658696603003353, Specificity: 0.9863562113381357,Train Acc: 0.9686, Test Acc: 0.9677
Epoch 23 / 100, Testing: Sensitivity: 0.8754920542353113, Specificity: 0.984709316337734,Train Acc: 0.9688, Test Acc: 0.9678
Epoch 24 / 100, Testing: Sensitivity: 0.8737425280653156, Specificity: 0.985352007069598,Train Acc: 0.9689, Test Acc: 0.9680
Epoch 25 / 100, Testing: Sensitivity: 0.8754920542353113, Specificity: 0.9855662373135528,Train Acc: 0.9698, Test Acc: 0.9685
