D:\python\Python39\python3.exe C:\Users\86136\Desktop\article\transformer-python\classification\微调.py 
Epoch 1 / 100, Testing: Sensitivity: 0.7885616371924606, Specificity: 0.9414320600462271, Train Acc: 0.9106, Test Acc: 0.9089, AUROC: 0.8611, AUPC: -0.7965, F1 Score: 0.7746, Recall: 0.7812
Epoch 2 / 100, Testing: Sensitivity: 0.8030778183699201, Specificity: 0.9523926199985299, Train Acc: 0.9223, Test Acc: 0.9176, AUROC: 0.8722, AUPC: -0.8151, F1 Score: 0.7948, Recall: 0.7963
Epoch 3 / 100, Testing: Sensitivity: 0.7297533219100578, Specificity: 0.9748609511675201, Train Acc: 0.9254, Test Acc: 0.9236, AUROC: 0.8489, AUPC: -0.8260, F1 Score: 0.7915, Recall: 0.7243
Epoch 4 / 100, Testing: Sensitivity: 0.7366396172125053, Specificity: 0.9841962119912773, Train Acc: 0.9343, Test Acc: 0.9325, AUROC: 0.8552, AUPC: -0.8504, F1 Score: 0.8117, Recall: 0.7263
Epoch 5 / 100, Testing: Sensitivity: 0.7449161035853997, Specificity: 0.9894233046659969, Train Acc: 0.9401, Test Acc: 0.9383, AUROC: 0.8623, AUPC: -0.8662, F1 Score: 0.8268, Recall: 0.7356
Epoch 6 / 100, Testing: Sensitivity: 0.8078303320293556, Specificity: 0.9811988010356177, Train Acc: 0.9462, Test Acc: 0.9438, AUROC: 0.8889, AUPC: -0.8744, F1 Score: 0.8503, Recall: 0.7974
Epoch 7 / 100, Testing: Sensitivity: 0.8023342277973554, Specificity: 0.9914406357451465, Train Acc: 0.9533, Test Acc: 0.9509, AUROC: 0.8912, AUPC: -0.8944, F1 Score: 0.8658, Recall: 0.7916
Epoch 8 / 100, Testing: Sensitivity: 0.8130031360124147, Specificity: 0.9918081656988378, Train Acc: 0.9557, Test Acc: 0.9527, AUROC: 0.8957, AUPC: -0.8984, F1 Score: 0.8715, Recall: 0.8005
Epoch 9 / 100, Testing: Sensitivity: 0.8273899970902978, Specificity: 0.99292709022452, Train Acc: 0.9595, Test Acc: 0.9565, AUROC: 0.9029, AUPC: -0.9072, F1 Score: 0.8822, Recall: 0.8134
Epoch 10 / 100, Testing: Sensitivity: 0.8428114189647926, Specificity: 0.9916284843881443, Train Acc: 0.9616, Test Acc: 0.9585, AUROC: 0.9097, AUPC: -0.9106, F1 Score: 0.8887, Recall: 0.8284
Epoch 11 / 100, Testing: Sensitivity: 0.8432963693382044, Specificity: 0.993711154125728, Train Acc: 0.9634, Test Acc: 0.9605, AUROC: 0.9119, AUPC: -0.9159, F1 Score: 0.8938, Recall: 0.8309
Epoch 12 / 100, Testing: Sensitivity: 0.8563900294203226, Specificity: 0.992012349006444, Train Acc: 0.9647, Test Acc: 0.9622, AUROC: 0.9183, AUPC: -0.9189, F1 Score: 0.8996, Recall: 0.8449
Epoch 13 / 100, Testing: Sensitivity: 0.8592997316607934, Specificity: 0.992665735590784, Train Acc: 0.9658, Test Acc: 0.9638, AUROC: 0.9208, AUPC: -0.9225, F1 Score: 0.9037, Recall: 0.8493
Epoch 14 / 100, Testing: Sensitivity: 0.868707768904982, Specificity: 0.9914324684128423, Train Acc: 0.9667, Test Acc: 0.9650, AUROC: 0.9258, AUPC: -0.9246, F1 Score: 0.9079, Recall: 0.8604
Epoch 15 / 100, Testing: Sensitivity: 0.8699039798260645, Specificity: 0.9931802775259517, Train Acc: 0.9683, Test Acc: 0.9658, AUROC: 0.9262, AUPC: -0.9268, F1 Score: 0.9098, Recall: 0.8601
Epoch 16 / 100, Testing: Sensitivity: 0.8763376547799941, Specificity: 0.9930741022059965, Train Acc: 0.9695, Test Acc: 0.9669, AUROC: 0.9286, AUPC: -0.9292, F1 Score: 0.9129, Recall: 0.8648
Epoch 17 / 100, Testing: Sensitivity: 0.8798616274934532, Specificity: 0.9936294808026854, Train Acc: 0.9707, Test Acc: 0.9677, AUROC: 0.9305, AUPC: -0.9308, F1 Score: 0.9150, Recall: 0.8683
Epoch 18 / 100, Testing: Sensitivity: 0.8834825902815945, Specificity: 0.9931067715352134, Train Acc: 0.9710, Test Acc: 0.9685, AUROC: 0.9327, AUPC: -0.9324, F1 Score: 0.9173, Recall: 0.8731
Epoch 19 / 100, Testing: Sensitivity: 0.8890110245384889, Specificity: 0.9936213134703812, Train Acc: 0.9725, Test Acc: 0.9698, AUROC: 0.9359, AUPC: -0.9353, F1 Score: 0.9211, Recall: 0.8792
Epoch 20 / 100, Testing: Sensitivity: 0.8919853868287478, Specificity: 0.9932946201782112, Train Acc: 0.9729, Test Acc: 0.9702, AUROC: 0.9370, AUPC: -0.9361, F1 Score: 0.9223, Recall: 0.8815
Epoch 21 / 100, Testing: Sensitivity: 0.8932785878245126, Specificity: 0.9937764927841619, Train Acc: 0.9735, Test Acc: 0.9708, AUROC: 0.9380, AUPC: -0.9375, F1 Score: 0.9238, Recall: 0.8832
Epoch 22 / 100, Testing: Sensitivity: 0.9018460444214542, Specificity: 0.9921185243263992, Train Acc: 0.9739, Test Acc: 0.9711, AUROC: 0.9413, AUPC: -0.9374, F1 Score: 0.9252, Recall: 0.8915
Epoch 23 / 100, Testing: Sensitivity: 0.9016197342471953, Specificity: 0.9924778869477863, Train Acc: 0.9742, Test Acc: 0.9716, AUROC: 0.9422, AUPC: -0.9385, F1 Score: 0.9265, Recall: 0.8932
Epoch 24 / 100, Testing: Sensitivity: 0.9000678930522776, Specificity: 0.9935233054827302, Train Acc: 0.9747, Test Acc: 0.9720, AUROC: 0.9414, AUPC: -0.9397, F1 Score: 0.9271, Recall: 0.8904
Epoch 25 / 100, Testing: Sensitivity: 0.9057903074585367, Specificity: 0.992175695652529, Train Acc: 0.9748, Test Acc: 0.9724, AUROC: 0.9441, AUPC: -0.9402, F1 Score: 0.9287, Recall: 0.8967
Epoch 26 / 100, Testing: Sensitivity: 0.9060489476576897, Specificity: 0.9925758949354372, Train Acc: 0.9751, Test Acc: 0.9726, AUROC: 0.9443, AUPC: -0.9405, F1 Score: 0.9290, Recall: 0.8971
Epoch 27 / 100, Testing: Sensitivity: 0.9064692379813133, Specificity: 0.9927555762461308, Train Acc: 0.9754, Test Acc: 0.9729, AUROC: 0.9447, AUPC: -0.9414, F1 Score: 0.9300, Recall: 0.8977
Epoch 28 / 100, Testing: Sensitivity: 0.9126442727360901, Specificity: 0.9916693210496655, Train Acc: 0.9757, Test Acc: 0.9731, AUROC: 0.9472, AUPC: -0.9414, F1 Score: 0.9309, Recall: 0.9040
