D:\python\Python39\python3.exe C:\Users\86136\Desktop\article\transformer-python\classification\微调.py 
Epoch 1 / 100, Testing: Sensitivity: 0.9099695026653488, Specificity: 0.830627776326104, Train Acc: 0.8696, Test Acc: 0.8694, AUROC: 0.8702, AUPC: -0.8959, F1 Score: 0.8728, Recall: 0.9126
Epoch 2 / 100, Testing: Sensitivity: 0.9693674971065548, Specificity: 0.7747419649856284, Train Acc: 0.8704, Test Acc: 0.8703, AUROC: 0.8721, AUPC: -0.8951, F1 Score: 0.8803, Recall: 0.9715
Epoch 3 / 100, Testing: Sensitivity: 0.8785175423034358, Specificity: 0.9312695975960282, Train Acc: 0.9053, Test Acc: 0.9040, AUROC: 0.9035, AUPC: -0.9309, F1 Score: 0.8995, Recall: 0.8751
Epoch 4 / 100, Testing: Sensitivity: 0.9584104214714753, Specificity: 0.8727299451267311, Train Acc: 0.9148, Test Acc: 0.9147, AUROC: 0.9155, AUPC: -0.9287, F1 Score: 0.9170, Recall: 0.9597
Epoch 5 / 100, Testing: Sensitivity: 0.9156550168537902, Specificity: 0.9375653253200941, Train Acc: 0.9268, Test Acc: 0.9261, AUROC: 0.9258, AUPC: -0.9452, F1 Score: 0.9238, Recall: 0.9133
Epoch 6 / 100, Testing: Sensitivity: 0.9431617541458635, Specificity: 0.9182861902273322, Train Acc: 0.9305, Test Acc: 0.9309, AUROC: 0.9311, AUPC: -0.9446, F1 Score: 0.9306, Recall: 0.9437
Epoch 7 / 100, Testing: Sensitivity: 0.972214478208345, Specificity: 0.8867422262869088, Train Acc: 0.9288, Test Acc: 0.9279, AUROC: 0.9287, AUPC: -0.9384, F1 Score: 0.9298, Recall: 0.9725
Epoch 8 / 100, Testing: Sensitivity: 0.954220205962609, Specificity: 0.9261088973085968, Train Acc: 0.9399, Test Acc: 0.9398, AUROC: 0.9401, AUPC: -0.9508, F1 Score: 0.9397, Recall: 0.9559
Epoch 9 / 100, Testing: Sensitivity: 0.9479010906387544, Specificity: 0.9421707603867259, Train Acc: 0.9450, Test Acc: 0.9447, AUROC: 0.9448, AUPC: -0.9563, F1 Score: 0.9441, Recall: 0.9504
Epoch 10 / 100, Testing: Sensitivity: 0.9667063723378192, Specificity: 0.917543114711262, Train Acc: 0.9417, Test Acc: 0.9402, AUROC: 0.9407, AUPC: -0.9494, F1 Score: 0.9408, Recall: 0.9678
Epoch 11 / 100, Testing: Sensitivity: 0.9549213912191331, Specificity: 0.9437957277240658, Train Acc: 0.9493, Test Acc: 0.9487, AUROC: 0.9489, AUPC: -0.9589, F1 Score: 0.9482, Recall: 0.9567
Epoch 12 / 100, Testing: Sensitivity: 0.9650083212949118, Specificity: 0.9317677031617455, Train Acc: 0.9481, Test Acc: 0.9466, AUROC: 0.9470, AUPC: -0.9553, F1 Score: 0.9467, Recall: 0.9665
Epoch 13 / 100, Testing: Sensitivity: 0.9609279299828505, Specificity: 0.9474376143193102, Train Acc: 0.9541, Test Acc: 0.9534, AUROC: 0.9536, AUPC: -0.9623, F1 Score: 0.9531, Recall: 0.9626
Epoch 14 / 100, Testing: Sensitivity: 0.9621782362233993, Specificity: 0.946735367128299, Train Acc: 0.9543, Test Acc: 0.9535, AUROC: 0.9537, AUPC: -0.9621, F1 Score: 0.9532, Recall: 0.9641
Epoch 15 / 100, Testing: Sensitivity: 0.9642817919929713, Specificity: 0.9466455448131695, Train Acc: 0.9553, Test Acc: 0.9546, AUROC: 0.9548, AUPC: -0.9628, F1 Score: 0.9543, Recall: 0.9663
Epoch 16 / 100, Testing: Sensitivity: 0.9658108827331019, Specificity: 0.9484501567807683, Train Acc: 0.9570, Test Acc: 0.9555, AUROC: 0.9557, AUPC: -0.9634, F1 Score: 0.9553, Recall: 0.9675
Epoch 17 / 100, Testing: Sensitivity: 0.9669936048525399, Specificity: 0.9504915730337079, Train Acc: 0.9586, Test Acc: 0.9576, AUROC: 0.9578, AUPC: -0.9652, F1 Score: 0.9573, Recall: 0.9687
Epoch 18 / 100, Testing: Sensitivity: 0.9646450566439415, Specificity: 0.9553828063757512, Train Acc: 0.9599, Test Acc: 0.9587, AUROC: 0.9588, AUPC: -0.9668, F1 Score: 0.9583, Recall: 0.9656
Epoch 19 / 100, Testing: Sensitivity: 0.9715048449366821, Specificity: 0.9466292134831461, Train Acc: 0.9589, Test Acc: 0.9575, AUROC: 0.9578, AUPC: -0.9644, F1 Score: 0.9574, Recall: 0.9725
Epoch 20 / 100, Testing: Sensitivity: 0.969198536803778, Specificity: 0.952549320616671, Train Acc: 0.9607, Test Acc: 0.9593, AUROC: 0.9595, AUPC: -0.9665, F1 Score: 0.9590, Recall: 0.9701
Epoch 21 / 100, Testing: Sensitivity: 0.9699757541965515, Specificity: 0.9533658871178469, Train Acc: 0.9615, Test Acc: 0.9603, AUROC: 0.9605, AUPC: -0.9673, F1 Score: 0.9600, Recall: 0.9710
Epoch 22 / 100, Testing: Sensitivity: 0.968767688031697, Specificity: 0.9568199634178207, Train Acc: 0.9627, Test Acc: 0.9613, AUROC: 0.9614, AUPC: -0.9685, F1 Score: 0.9609, Recall: 0.9694
Epoch 23 / 100, Testing: Sensitivity: 0.9702545386961333, Specificity: 0.9560932192317743, Train Acc: 0.9631, Test Acc: 0.9618, AUROC: 0.9620, AUPC: -0.9687, F1 Score: 0.9615, Recall: 0.9709
Epoch 24 / 100, Testing: Sensitivity: 0.9696124895455812, Specificity: 0.9578651685393258, Train Acc: 0.9636, Test Acc: 0.9621, AUROC: 0.9622, AUPC: -0.9692, F1 Score: 0.9617, Recall: 0.9699
Epoch 25 / 100, Testing: Sensitivity: 0.9719863817995962, Specificity: 0.9563953488372093, Train Acc: 0.9641, Test Acc: 0.9625, AUROC: 0.9627, AUPC: -0.9692, F1 Score: 0.9622, Recall: 0.9721
Epoch 26 / 100, Testing: Sensitivity: 0.9690549205464176, Specificity: 0.9602822053828064, Train Acc: 0.9646, Test Acc: 0.9631, AUROC: 0.9632, AUPC: -0.9702, F1 Score: 0.9627, Recall: 0.9694
Epoch 27 / 100, Testing: Sensitivity: 0.9738787371906971, Specificity: 0.9555706166710217, Train Acc: 0.9646, Test Acc: 0.9630, AUROC: 0.9632, AUPC: -0.9693, F1 Score: 0.9628, Recall: 0.9741
Epoch 28 / 100, Testing: Sensitivity: 0.9734563364337548, Specificity: 0.9573425659785733, Train Acc: 0.9653, Test Acc: 0.9636, AUROC: 0.9637, AUPC: -0.9699, F1 Score: 0.9633, Recall: 0.9734
Epoch 29 / 100, Testing: Sensitivity: 0.9730085916313962, Specificity: 0.9589920303109485, Train Acc: 0.9659, Test Acc: 0.9641, AUROC: 0.9642, AUPC: -0.9705, F1 Score: 0.9638, Recall: 0.9731
Epoch 30 / 100, Testing: Sensitivity: 0.9745714744320821, Specificity: 0.9580039848445258, Train Acc: 0.9661, Test Acc: 0.9645, AUROC: 0.9647, AUPC: -0.9706, F1 Score: 0.9642, Recall: 0.9745
Epoch 31 / 100, Testing: Sensitivity: 0.974419410159583, Specificity: 0.958771557355631, Train Acc: 0.9665, Test Acc: 0.9646, AUROC: 0.9648, AUPC: -0.9708, F1 Score: 0.9644, Recall: 0.9743
Epoch 32 / 100, Testing: Sensitivity: 0.9723327504202888, Specificity: 0.9618745100600993, Train Acc: 0.9670, Test Acc: 0.9655, AUROC: 0.9657, AUPC: -0.9720, F1 Score: 0.9652, Recall: 0.9722
Epoch 33 / 100, Testing: Sensitivity: 0.9738196010847251, Specificity: 0.9607966422785472, Train Acc: 0.9672, Test Acc: 0.9656, AUROC: 0.9658, AUPC: -0.9718, F1 Score: 0.9653, Recall: 0.9736
Epoch 34 / 100, Testing: Sensitivity: 0.9746728506137483, Specificity: 0.9610334465638881, Train Acc: 0.9677, Test Acc: 0.9658, AUROC: 0.9660, AUPC: -0.9719, F1 Score: 0.9655, Recall: 0.9743
Epoch 35 / 100, Testing: Sensitivity: 0.9751628354918012, Specificity: 0.9608293049385942, Train Acc: 0.9679, Test Acc: 0.9659, AUROC: 0.9661, AUPC: -0.9719, F1 Score: 0.9656, Recall: 0.9749
Epoch 36 / 100, Testing: Sensitivity: 0.9747742267954144, Specificity: 0.9619643323752286, Train Acc: 0.9683, Test Acc: 0.9666, AUROC: 0.9667, AUPC: -0.9725, F1 Score: 0.9662, Recall: 0.9748
Epoch 37 / 100, Testing: Sensitivity: 0.9766327901259599, Specificity: 0.9602495427227593, Train Acc: 0.9683, Test Acc: 0.9664, AUROC: 0.9666, AUPC: -0.9721, F1 Score: 0.9662, Recall: 0.9762
Epoch 38 / 100, Testing: Sensitivity: 0.9764215897474888, Specificity: 0.9617438594199111, Train Acc: 0.9690, Test Acc: 0.9672, AUROC: 0.9673, AUPC: -0.9729, F1 Score: 0.9669, Recall: 0.9759
Epoch 39 / 100, Testing: Sensitivity: 0.9756950604455483, Specificity: 0.963303501437157, Train Acc: 0.9694, Test Acc: 0.9674, AUROC: 0.9675, AUPC: -0.9732, F1 Score: 0.9671, Recall: 0.9753
Epoch 40 / 100, Testing: Sensitivity: 0.9762441814295731, Specificity: 0.9631728507969689, Train Acc: 0.9696, Test Acc: 0.9678, AUROC: 0.9679, AUPC: -0.9734, F1 Score: 0.9675, Recall: 0.9759
Epoch 41 / 100, Testing: Sensitivity: 0.9770636388980409, Specificity: 0.963205513457016, Train Acc: 0.9700, Test Acc: 0.9683, AUROC: 0.9684, AUPC: -0.9737, F1 Score: 0.9680, Recall: 0.9768
Epoch 42 / 100, Testing: Sensitivity: 0.9784744574262277, Specificity: 0.9619643323752286, Train Acc: 0.9701, Test Acc: 0.9686, AUROC: 0.9688, AUPC: -0.9737, F1 Score: 0.9683, Recall: 0.9785
Epoch 43 / 100, Testing: Sensitivity: 0.9773339753824839, Specificity: 0.9645038541938855, Train Acc: 0.9708, Test Acc: 0.9691, AUROC: 0.9692, AUPC: -0.9745, F1 Score: 0.9687, Recall: 0.9767
Epoch 44 / 100, Testing: Sensitivity: 0.9769200226406806, Specificity: 0.9658185262607787, Train Acc: 0.9713, Test Acc: 0.9696, AUROC: 0.9697, AUPC: -0.9751, F1 Score: 0.9692, Recall: 0.9764
Epoch 45 / 100, Testing: Sensitivity: 0.9803076767113567, Specificity: 0.9629360465116279, Train Acc: 0.9715, Test Acc: 0.9700, AUROC: 0.9701, AUPC: -0.9747, F1 Score: 0.9697, Recall: 0.9803
Epoch 46 / 100, Testing: Sensitivity: 0.9760160850208244, Specificity: 0.9679497648288476, Train Acc: 0.9719, Test Acc: 0.9703, AUROC: 0.9704, AUPC: -0.9760, F1 Score: 0.9699, Recall: 0.9755
Epoch 47 / 100, Testing: Sensitivity: 0.9775113837003996, Specificity: 0.9675823099033185, Train Acc: 0.9725, Test Acc: 0.9708, AUROC: 0.9709, AUPC: -0.9761, F1 Score: 0.9704, Recall: 0.9770
Epoch 48 / 100, Testing: Sensitivity: 0.9797670037424707, Specificity: 0.965434740005226, Train Acc: 0.9725, Test Acc: 0.9707, AUROC: 0.9708, AUPC: -0.9755, F1 Score: 0.9704, Recall: 0.9794
Epoch 49 / 100, Testing: Sensitivity: 0.9792432268038624, Specificity: 0.9673781682780246, Train Acc: 0.9732, Test Acc: 0.9713, AUROC: 0.9715, AUPC: -0.9763, F1 Score: 0.9710, Recall: 0.9787
