D:\python\Python39\python3.exe C:\Users\86136\Desktop\article\transformer-python\classification\微调.py 
Epoch 1 / 100, Testing: Sensitivity: 0.710458178543285, Specificity: 0.9450008535822, Train Acc: 0.8977, Test Acc: 0.8937, AUROC: 0.8209, AUPC: -0.7598, F1 Score: 0.7277, Recall: 0.6982
Epoch 2 / 100, Testing: Sensitivity: 0.7749634132612856, Specificity: 0.9510897399419564, Train Acc: 0.9156, Test Acc: 0.9066, AUROC: 0.8454, AUPC: -0.7906, F1 Score: 0.7638, Recall: 0.7422
Epoch 3 / 100, Testing: Sensitivity: 0.8337273443656422, Specificity: 0.9279292095828828, Train Acc: 0.9089, Test Acc: 0.9010, AUROC: 0.8688, AUPC: -0.7912, F1 Score: 0.7700, Recall: 0.8146
Epoch 4 / 100, Testing: Sensitivity: 0.7084318360914106, Specificity: 0.9746486086610141, Train Acc: 0.9209, Test Acc: 0.9156, AUROC: 0.8339, AUPC: -0.8102, F1 Score: 0.7704, Recall: 0.6961
Epoch 5 / 100, Testing: Sensitivity: 0.7276820893842171, Specificity: 0.9807944005007683, Train Acc: 0.9297, Test Acc: 0.9268, AUROC: 0.8496, AUPC: -0.8388, F1 Score: 0.8000, Recall: 0.7193
Epoch 6 / 100, Testing: Sensitivity: 0.7728244962287516, Specificity: 0.9749900415410004, Train Acc: 0.9342, Test Acc: 0.9283, AUROC: 0.8658, AUPC: -0.8400, F1 Score: 0.8119, Recall: 0.7604
Epoch 7 / 100, Testing: Sensitivity: 0.7814927389395474, Specificity: 0.9818186991407273, Train Acc: 0.9414, Test Acc: 0.9353, AUROC: 0.8709, AUPC: -0.8578, F1 Score: 0.8275, Recall: 0.7622
Epoch 8 / 100, Testing: Sensitivity: 0.8223573117190138, Specificity: 0.974677061401013, Train Acc: 0.9439, Test Acc: 0.9384, AUROC: 0.8891, AUPC: -0.8632, F1 Score: 0.8418, Recall: 0.8060
Epoch 9 / 100, Testing: Sensitivity: 0.7929753461668355, Specificity: 0.986200421100552, Train Acc: 0.9472, Test Acc: 0.9406, AUROC: 0.8802, AUPC: -0.8705, F1 Score: 0.8422, Recall: 0.7784
Epoch 10 / 100, Testing: Sensitivity: 0.832376449397726, Specificity: 0.9800546292607978, Train Acc: 0.9503, Test Acc: 0.9422, AUROC: 0.8925, AUPC: -0.8725, F1 Score: 0.8507, Recall: 0.8086
Epoch 11 / 100, Testing: Sensitivity: 0.8238207812675897, Specificity: 0.9850338587605987, Train Acc: 0.9525, Test Acc: 0.9454, AUROC: 0.8930, AUPC: -0.8805, F1 Score: 0.8570, Recall: 0.8047
Epoch 12 / 100, Testing: Sensitivity: 0.8466734211415062, Specificity: 0.9799408183008024, Train Acc: 0.9531, Test Acc: 0.9448, AUROC: 0.9005, AUPC: -0.8780, F1 Score: 0.8589, Recall: 0.8258
Epoch 13 / 100, Testing: Sensitivity: 0.8482494652707419, Specificity: 0.9828145450406874, Train Acc: 0.9557, Test Acc: 0.9468, AUROC: 0.9020, AUPC: -0.8829, F1 Score: 0.8635, Recall: 0.8263
Epoch 14 / 100, Testing: Sensitivity: 0.84532252617359, Specificity: 0.98600125192056, Train Acc: 0.9576, Test Acc: 0.9479, AUROC: 0.9012, AUPC: -0.8856, F1 Score: 0.8652, Recall: 0.8224
Epoch 15 / 100, Testing: Sensitivity: 0.847461443206124, Specificity: 0.9865418539805383, Train Acc: 0.9585, Test Acc: 0.9488, AUROC: 0.9018, AUPC: -0.8879, F1 Score: 0.8673, Recall: 0.8227
Epoch 16 / 100, Testing: Sensitivity: 0.8462231228188675, Specificity: 0.9865418539805383, Train Acc: 0.9582, Test Acc: 0.9499, AUROC: 0.9037, AUPC: -0.8904, F1 Score: 0.8702, Recall: 0.8258
Epoch 17 / 100, Testing: Sensitivity: 0.8617584149499043, Specificity: 0.9842940875206282, Train Acc: 0.9596, Test Acc: 0.9498, AUROC: 0.9077, AUPC: -0.8897, F1 Score: 0.8716, Recall: 0.8367
Epoch 18 / 100, Testing: Sensitivity: 0.8610829674659461, Specificity: 0.9863142320605475, Train Acc: 0.9610, Test Acc: 0.9512, AUROC: 0.9100, AUPC: -0.8928, F1 Score: 0.8752, Recall: 0.8406
Epoch 19 / 100, Testing: Sensitivity: 0.8616458403692446, Specificity: 0.9860581574005577, Train Acc: 0.9610, Test Acc: 0.9514, AUROC: 0.9092, AUPC: -0.8935, F1 Score: 0.8753, Recall: 0.8380
Epoch 20 / 100, Testing: Sensitivity: 0.8587189012720927, Specificity: 0.9877937745404882, Train Acc: 0.9618, Test Acc: 0.9522, AUROC: 0.9091, AUPC: -0.8956, F1 Score: 0.8769, Recall: 0.8365
Epoch 21 / 100, Testing: Sensitivity: 0.8573680063041765, Specificity: 0.9889887896204405, Train Acc: 0.9624, Test Acc: 0.9523, AUROC: 0.9083, AUPC: -0.8960, F1 Score: 0.8768, Recall: 0.8341
Epoch 22 / 100, Testing: Sensitivity: 0.8649105032083756, Specificity: 0.9876799635804928, Train Acc: 0.9629, Test Acc: 0.9526, AUROC: 0.9111, AUPC: -0.8963, F1 Score: 0.8784, Recall: 0.8411
Epoch 23 / 100, Testing: Sensitivity: 0.8702015084993808, Specificity: 0.9865703067205371, Train Acc: 0.9631, Test Acc: 0.9529, AUROC: 0.9126, AUPC: -0.8968, F1 Score: 0.8795, Recall: 0.8448
Epoch 24 / 100, Testing: Sensitivity: 0.8647979286277159, Specificity: 0.9884197348204632, Train Acc: 0.9635, Test Acc: 0.9529, AUROC: 0.9108, AUPC: -0.8971, F1 Score: 0.8789, Recall: 0.8398
Epoch 25 / 100, Testing: Sensitivity: 0.8649105032083756, Specificity: 0.9886473567404541, Train Acc: 0.9637, Test Acc: 0.9529, AUROC: 0.9112, AUPC: -0.8971, F1 Score: 0.8791, Recall: 0.8409
Epoch 26 / 100, Testing: Sensitivity: 0.8705392322413599, Specificity: 0.9875376998804984, Train Acc: 0.9639, Test Acc: 0.9532, AUROC: 0.9127, AUPC: -0.8974, F1 Score: 0.8801, Recall: 0.8445
Epoch 27 / 100, Testing: Sensitivity: 0.8706518068220196, Specificity: 0.9874523416605019, Train Acc: 0.9639, Test Acc: 0.9532, AUROC: 0.9131, AUPC: -0.8974, F1 Score: 0.8802, Recall: 0.8456
Epoch 28 / 100, Testing: Sensitivity: 0.8702015084993808, Specificity: 0.9875376998804984, Train Acc: 0.9639, Test Acc: 0.9536, AUROC: 0.9135, AUPC: -0.8985, F1 Score: 0.8813, Recall: 0.8458
Epoch 29 / 100, Testing: Sensitivity: 0.869075762692784, Specificity: 0.9880783019404769, Train Acc: 0.9641, Test Acc: 0.9536, AUROC: 0.9129, AUPC: -0.8986, F1 Score: 0.8811, Recall: 0.8443
Epoch 30 / 100, Testing: Sensitivity: 0.8709895305639986, Specificity: 0.9877368690604905, Train Acc: 0.9642, Test Acc: 0.9538, AUROC: 0.9135, AUPC: -0.8991, F1 Score: 0.8817, Recall: 0.8456
Epoch 31 / 100, Testing: Sensitivity: 0.8718901272092762, Specificity: 0.9877368690604905, Train Acc: 0.9644, Test Acc: 0.9540, AUROC: 0.9142, AUPC: -0.8994, F1 Score: 0.8823, Recall: 0.8471
Epoch 32 / 100, Testing: Sensitivity: 0.8734661713385118, Specificity: 0.9876230581004951, Train Acc: 0.9646, Test Acc: 0.9542, AUROC: 0.9147, AUPC: -0.8998, F1 Score: 0.8829, Recall: 0.8482
Epoch 33 / 100, Testing: Sensitivity: 0.8696386355960825, Specificity: 0.9887327149604507, Train Acc: 0.9647, Test Acc: 0.9542, AUROC: 0.9139, AUPC: -0.9000, F1 Score: 0.8826, Recall: 0.8458
Epoch 34 / 100, Testing: Sensitivity: 0.8721152763705955, Specificity: 0.9883343766004666, Train Acc: 0.9649, Test Acc: 0.9547, AUROC: 0.9146, AUPC: -0.9011, F1 Score: 0.8838, Recall: 0.8469
Epoch 35 / 100, Testing: Sensitivity: 0.8749296408870877, Specificity: 0.9878506800204859, Train Acc: 0.9651, Test Acc: 0.9547, AUROC: 0.9156, AUPC: -0.9010, F1 Score: 0.8843, Recall: 0.8495
Epoch 36 / 100, Testing: Sensitivity: 0.8733535967578521, Specificity: 0.9883912820804643, Train Acc: 0.9652, Test Acc: 0.9548, AUROC: 0.9153, AUPC: -0.9014, F1 Score: 0.8844, Recall: 0.8487
Epoch 37 / 100, Testing: Sensitivity: 0.8744793425644489, Specificity: 0.9879929437204803, Train Acc: 0.9651, Test Acc: 0.9547, AUROC: 0.9157, AUPC: -0.9010, F1 Score: 0.8843, Recall: 0.8497
Epoch 38 / 100, Testing: Sensitivity: 0.876618259596983, Specificity: 0.9881352074204746, Train Acc: 0.9656, Test Acc: 0.9548, AUROC: 0.9160, AUPC: -0.9012, F1 Score: 0.8846, Recall: 0.8505
Epoch 39 / 100, Testing: Sensitivity: 0.8744793425644489, Specificity: 0.9882205656404712, Train Acc: 0.9653, Test Acc: 0.9554, AUROC: 0.9160, AUPC: -0.9026, F1 Score: 0.8857, Recall: 0.8495
Epoch 40 / 100, Testing: Sensitivity: 0.8771811325002814, Specificity: 0.9878791327604848, Train Acc: 0.9655, Test Acc: 0.9551, AUROC: 0.9161, AUPC: -0.9018, F1 Score: 0.8851, Recall: 0.8505
